iter	Passed	Remaining
0	13	13102
1	25	12844
2	38	12761
3	50	12613
4	64	12812
5	77	12860
6	91	12966
7	104	12975
8	117	12920
9	129	12837
10	143	12861
11	157	12979
12	172	13072
13	185	13059
14	198	13011
15	211	13005
16	223	12950
17	237	12945
18	250	12921
19	262	12886
20	277	12922
21	290	12915
22	303	12897
23	316	12880
24	329	12834
25	342	12830
26	355	12814
27	369	12826
28	382	12801
29	395	12790
30	408	12779
31	422	12768
32	435	12751
33	448	12728
34	460	12701
35	473	12683
36	487	12685
37	501	12699
38	516	12731
39	531	12745
40	544	12739
41	558	12739
42	573	12757
43	587	12770
44	601	12772
45	614	12752
46	628	12739
47	641	12716
48	656	12731
49	669	12726
50	684	12729
51	699	12754
52	713	12753
53	727	12742
54	741	12740
55	755	12741
56	769	12730
57	783	12731
58	798	12734
59	812	12727
60	825	12714
61	839	12707
62	854	12706
63	868	12696
64	882	12689
65	896	12679
66	909	12661
67	922	12641
68	937	12644
69	951	12635
70	965	12627
71	978	12610
72	993	12610
73	1007	12611
74	1024	12630
75	1037	12617
76	1051	12610
77	1066	12601
78	1081	12606
79	1095	12600
80	1109	12591
81	1124	12585
82	1138	12575
83	1152	12567
84	1170	12605
85	1193	12680
86	1224	12852
87	1247	12933
88	1267	12971
89	1289	13039
90	1303	13023
91	1317	13004
92	1332	12992
93	1346	12975
94	1360	12959
95	1374	12939
96	1387	12920
97	1401	12898
98	1414	12877
99	1428	12859
100	1442	12843
101	1457	12829
102	1471	12817
103	1485	12799
104	1499	12784
105	1513	12760
106	1526	12743
107	1541	12731
108	1555	12717
109	1569	12699
110	1583	12679
111	1597	12667
112	1611	12652
113	1625	12634
114	1640	12625
115	1654	12608
116	1668	12590
117	1681	12565
118	1695	12549
119	1710	12544
120	1724	12530
121	1739	12517
122	1754	12509
123	1770	12505
124	1783	12487
125	1797	12466
126	1810	12442
127	1824	12426
128	1838	12413
129	1852	12395
130	1866	12379
131	1880	12366
132	1894	12349
133	1908	12334
134	1922	12318
135	1935	12299
136	1949	12283
137	1962	12260
138	1976	12244
139	1991	12231
140	2005	12217
141	2019	12204
142	2033	12189
143	2049	12183
144	2063	12167
145	2077	12150
146	2091	12133
147	2104	12115
148	2118	12099
149	2131	12080
150	2146	12068
151	2160	12052
152	2175	12040
153	2190	12033
154	2204	12018
155	2218	12001
156	2232	11984
157	2245	11965
158	2258	11946
159	2272	11931
160	2286	11914
161	2300	11898
162	2313	11878
163	2327	11862
164	2339	11839
165	2352	11819
166	2365	11798
167	2378	11778
168	2390	11755
169	2403	11734
170	2416	11714
171	2429	11694
172	2442	11675
173	2454	11652
174	2468	11638
175	2482	11623
176	2495	11604
177	2509	11588
178	2521	11564
179	2534	11546
180	2547	11525
181	2560	11507
182	2572	11485
183	2585	11466
184	2598	11448
185	2612	11432
186	2625	11414
187	2638	11394
188	2651	11375
189	2664	11357
190	2677	11338
191	2689	11317
192	2701	11297
193	2715	11282
194	2728	11265
195	2742	11250
196	2755	11233
197	2768	11212
198	2780	11193
199	2793	11172
200	2806	11154
201	2818	11134
202	2831	11118
203	2844	11100
204	2857	11083
205	2870	11064
206	2883	11044
207	2895	11025
208	2908	11009
209	2922	10995
210	2935	10975
211	2947	10956
212	2962	10944
213	2975	10928
214	2987	10908
215	3000	10892
216	3013	10873
217	3027	10860
218	3039	10841
219	3053	10824
220	3064	10803
221	3078	10789
222	3091	10772
223	3103	10752
224	3115	10732
225	3128	10715
226	3141	10698
227	3154	10681
228	3169	10670
229	3182	10654
230	3195	10636
231	3208	10621
232	3222	10606
233	3235	10592
234	3250	10579
235	3262	10562
236	3276	10549
237	3290	10533
238	3304	10520
239	3316	10503
240	3329	10485
241	3342	10469
242	3356	10455
243	3369	10438
244	3381	10421
245	3394	10402
246	3406	10385
247	3419	10368
248	3431	10350
249	3444	10332
250	3458	10321
251	3472	10305
252	3484	10287
253	3497	10271
254	3510	10254
255	3523	10239
256	3536	10223
257	3548	10206
258	3561	10189
259	3575	10175
260	3588	10160
261	3601	10144
262	3614	10128
263	3627	10113
264	3640	10096
265	3653	10081
266	3666	10066
267	3679	10049
268	3691	10030
269	3704	10015
270	3717	10000
271	3730	9985
272	3743	9969
273	3756	9954
274	3770	9940
275	3783	9923
276	3796	9908
277	3808	9890
278	3821	9875
279	3834	9859
280	3846	9843
281	3859	9827
282	3872	9810
283	3885	9795
284	3898	9779
285	3910	9763
286	3923	9746
287	3936	9731
288	3949	9715
289	3961	9699
290	3974	9683
291	3986	9667
292	3999	9650
293	4012	9636
294	4025	9620
295	4037	9601
296	4050	9586
297	4062	9571
298	4075	9554
299	4087	9536
300	4100	9522
301	4114	9508
302	4127	9495
303	4140	9480
304	4154	9465
305	4167	9450
306	4179	9434
307	4193	9420
308	4206	9406
309	4218	9389
310	4232	9377
311	4245	9361
312	4257	9345
313	4271	9331
314	4283	9315
315	4297	9301
316	4310	9287
317	4324	9274
318	4337	9259
319	4349	9243
320	4362	9228
321	4374	9211
322	4388	9197
323	4400	9182
324	4415	9170
325	4428	9156
326	4441	9141
327	4454	9125
328	4466	9109
329	4479	9094
330	4492	9080
331	4505	9065
332	4517	9049
333	4530	9033
334	4542	9018
335	4555	9002
336	4568	8988
337	4580	8971
338	4594	8958
339	4606	8942
340	4619	8927
341	4632	8912
342	4645	8898
343	4658	8883
344	4671	8868
345	4684	8854
346	4696	8838
347	4710	8824
348	4724	8811
349	4736	8797
350	4750	8783
351	4764	8770
352	4776	8755
353	4790	8741
354	4802	8726
355	4816	8712
356	4829	8697
357	4841	8682
358	4856	8670
359	4868	8655
360	4881	8640
361	4893	8624
362	4906	8609
363	4919	8595
364	4932	8580
365	4945	8566
366	4958	8551
367	4972	8539
368	4988	8530
369	5003	8520
370	5019	8509
371	5034	8499
372	5050	8489
373	5064	8476
374	5076	8461
375	5089	8446
376	5102	8432
377	5116	8418
378	5129	8405
379	5142	8389
380	5155	8376
381	5169	8362
382	5181	8347
383	5194	8332
384	5206	8317
385	5219	8302
386	5232	8288
387	5245	8273
388	5257	8258
389	5271	8244
390	5284	8230
391	5296	8215
392	5309	8200
393	5321	8185
394	5335	8171
395	5349	8158
396	5362	8144
397	5375	8130
398	5388	8115
399	5401	8101
400	5415	8088
401	5428	8075
402	5441	8060
403	5454	8046
404	5467	8032
405	5480	8018
406	5494	8004
407	5506	7989
408	5519	7975
409	5533	7962
410	5546	7949
411	5560	7935
412	5572	7920
413	5585	7905
414	5598	7892
415	5612	7878
416	5625	7865
417	5638	7851
418	5651	7836
419	5665	7823
420	5678	7810
421	5692	7796
